timestamp,eventType,contentId,personId,source,location,communityId
1466033617,VIEW,6,-8424644554119645763,Yahoo,America,26917
1466034780,VIEW,31,-1032019229384696495,Instagram,England,39636
1466034780,VIEW,27,-1032019229384696495,Instagram,America,45503
1466034466,VIEW,28,-1387464358334758758,Yahoo,Japan,40541
1466034457,FOLLOW,81,-1387464358334758758,Google,England,34469
1466033937,VIEW,53,3609194402293569455,LinkedIn,German,18415
1466034818,COMMENT-AVERAGE-POSITIVE,92,-1032019229384696495,Google,Japan,44903
1466034237,VIEW,16,-1387464358334758758,Google,America,29528
1460566380,LIKE,5,-1602833675167376798,Wikipedia,German,35670
1460566003,VIEW,21,-1602833675167376798,Instagram,German,31026
1460566746,VIEW,81,5621833459783231486,Wikipedia,Japan,37024
1460566250,VIEW,69,-2626634673110551643,LinkedIn,Ethiopia,16242
1460566179,VIEW,40,-1602833675167376798,Google,Ethiopia,12835
1460566517,FOLLOW,85,-108842214936804958,Facebook,German,23299
1460566919,VIEW,48,-6153009241569363021,Instagram,Ethiopia,44645
1460568722,VIEW,64,-4585796377251906117,LinkedIn,England,18017
1460566378,VIEW,79,-1602833675167376798,LinkedIn,America,28446
1460566382,VIEW,0,-1602833675167376798,Wikipedia,German,45427
1460566210,VIEW,18,-108842214936804958,Google,German,22191
1460567442,VIEW,56,-2339455719722814827,LinkedIn,Ethiopia,32607
1460566763,VIEW,19,5621833459783231486,Instagram,Japan,17462
1460566388,VIEW,4,-1602833675167376798,Yahoo,German,43825
1460569552,VIEW,15,4340306774493623681,Instagram,Ethiopia,19767
1460566765,VIEW,82,5621833459783231486,Wikipedia,Ethiopia,25177
1460566421,VIEW,52,5683029675627635125,Facebook,Ethiopia,17849
1460567374,VIEW,43,-1443636648652872475,Instagram,England,21026
1460570095,VIEW,39,3891637997717104548,Wikipedia,Eritrea,26056
1460566310,VIEW,55,-108842214936804958,Facebook,German,19895
1460566083,VIEW,53,-2050699458865052139,Google,Ethiopia,17436
1460565500,VIEW,65,3429602690322213789,Google,German,24453
1460566206,VIEW,81,-2626634673110551643,Facebook,German,21755
1460566393,LIKE,39,-1602833675167376798,Yahoo,England,40904
1460570179,VIEW,47,-1443636648652872475,Wikipedia,Ethiopia,24709
1460568694,VIEW,54,-1443636648652872475,Wikipedia,Japan,37047
1460568778,VIEW,96,4340306774493623681,Google,England,30305
